epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,389.888,0.63873,0.97555,0.47208,0.00252,0.3999,0.90946,0.92862,0.93653,0.84135,0.89039,0.90882,0.90244,0.66861,0.5238,1.15759,0.40599,0.00317,0,0.000283085,0.000283085,0.000283085
83,394.423,0.62712,0.96153,0.48059,0.00252,0.41171,0.89133,0.92748,0.93356,0.83102,0.87399,0.9091,0.901,0.6644,0.55401,1.15523,0.4225,0.00331,0,0.000268938,0.000268938,0.000268938
84,398.984,0.6281,0.96871,0.47493,0.00254,0.39411,0.89713,0.91934,0.93521,0.83519,0.88981,0.89136,0.90356,0.67045,0.52672,1.1427,0.42838,0.00321,0,0.000254791,0.000254791,0.000254791
85,403.651,0.61948,0.95936,0.46603,0.0025,0.39417,0.89583,0.91975,0.9292,0.82208,0.87781,0.90147,0.89711,0.66536,0.54645,1.13765,0.43493,0.00333,0,0.000240644,0.000240644,0.000240644
86,408.323,0.62199,0.9436,0.47253,0.0024,0.40655,0.90053,0.90489,0.92864,0.82749,0.88109,0.88641,0.8956,0.67556,0.53157,1.14127,0.44365,0.00323,0,0.000226497,0.000226497,0.000226497
87,412.958,0.62449,0.96331,0.47674,0.00243,0.38627,0.89743,0.92138,0.92763,0.82535,0.8783,0.90124,0.89441,0.64946,0.56431,1.13175,0.44571,0.00329,0,0.000212349,0.000212349,0.000212349
88,417.66,0.63365,0.97326,0.47443,0.00243,0.41474,0.88623,0.91648,0.92864,0.8337,0.86592,0.90484,0.89625,0.67019,0.52495,1.13871,0.43352,0.00308,0,0.000198202,0.000198202,0.000198202
89,422.329,0.62791,0.94199,0.46399,0.00246,0.3762,0.91687,0.90947,0.93392,0.83482,0.89971,0.89062,0.9013,0.66131,0.53051,1.14968,0.4324,0.00325,0,0.000184055,0.000184055,0.000184055
90,427.015,0.63838,0.99188,0.47129,0.00247,0.37877,0.91185,0.91063,0.93263,0.83216,0.89309,0.89412,0.898,0.6584,0.54287,1.15725,0.4286,0.0033,0,0.000169908,0.000169908,0.000169908
91,431.794,0.56506,0.86172,0.43166,0.00275,0.32535,0.91187,0.91821,0.93422,0.8233,0.89101,0.89671,0.89829,0.66076,0.57367,1.16018,0.42203,0.00342,0,0.000155761,0.000155761,0.000155761
92,435.804,0.54751,0.85507,0.41772,0.00282,0.32103,0.90794,0.92738,0.9369,0.83224,0.88993,0.90561,0.90393,0.65591,0.54947,1.16237,0.40642,0.00337,0,0.000141614,0.000141614,0.000141614
93,439.243,0.53216,0.82227,0.41577,0.00263,0.32398,0.90729,0.92103,0.93647,0.83498,0.88764,0.90001,0.90192,0.66163,0.54909,1.17104,0.40839,0.00338,0,0.000127467,0.000127467,0.000127467
94,442.666,0.53623,0.84449,0.41954,0.0027,0.30398,0.91108,0.92396,0.93591,0.83641,0.89778,0.90591,0.9028,0.6659,0.52773,1.18122,0.40962,0.00316,0,0.00011332,0.00011332,0.00011332
95,446.185,0.51923,0.83941,0.41105,0.00258,0.30412,0.90113,0.91987,0.93371,0.83673,0.88159,0.90213,0.90014,0.65429,0.53519,1.18027,0.41583,0.00319,0,9.91726e-05,9.91726e-05,9.91726e-05
96,449.726,0.52738,0.862,0.41494,0.00261,0.29775,0.90635,0.91214,0.93306,0.83551,0.88425,0.89537,0.90063,0.65845,0.52531,1.18152,0.42057,0.0031,0,8.50255e-05,8.50255e-05,8.50255e-05
97,453.148,0.52607,0.86073,0.41196,0.00237,0.29716,0.89735,0.91815,0.93257,0.83588,0.87867,0.89803,0.90034,0.65331,0.52132,1.18393,0.41895,0.00307,0,7.08784e-05,7.08784e-05,7.08784e-05
98,456.582,0.50875,0.81371,0.40594,0.00249,0.31059,0.89896,0.92254,0.93355,0.83727,0.87674,0.90573,0.90231,0.65724,0.51716,1.1764,0.41815,0.00299,0,5.67313e-05,5.67313e-05,5.67313e-05
99,460.006,0.50635,0.84981,0.40814,0.00246,0.30927,0.90556,0.91957,0.93404,0.83919,0.88354,0.89897,0.90224,0.66134,0.51411,1.16752,0.4186,0.00299,0,4.25842e-05,4.25842e-05,4.25842e-05
100,463.452,0.50752,0.83071,0.40738,0.00246,0.30073,0.89972,0.92248,0.93357,0.84129,0.88005,0.90157,0.90164,0.6602,0.50945,1.16609,0.41726,0.00297,0,2.84371e-05,2.84371e-05,2.84371e-05
